               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.038331,            0.011388,            0.036535,            0.026984,             0.92857,            0.039803,            0.016942,             0.02321,           0.0070272,            0.053152,            0.004159,            0.004159,            0.004159
                  61,            0.034844,            0.013167,            0.035561,            0.028504,             0.92857,            0.037662,            0.020135,            0.022325,           0.0070771,            0.053614,             0.00406,             0.00406,             0.00406
                  62,            0.038929,            0.010823,            0.036987,            0.028564,             0.92857,            0.037111,            0.020881,            0.020791,           0.0070936,            0.052087,            0.003961,            0.003961,            0.003961
                  63,            0.041421,            0.012897,            0.038042,            0.030228,                   1,            0.038254,            0.019179,            0.022396,           0.0072814,             0.05073,            0.003862,            0.003862,            0.003862
                  64,            0.035831,            0.012591,            0.031995,            0.029315,             0.92857,              0.0382,            0.018989,            0.024622,           0.0073093,            0.050362,            0.003763,            0.003763,            0.003763
                  65,            0.032727,             0.01211,            0.032873,            0.029888,             0.92857,            0.040425,            0.020965,            0.019877,           0.0074969,            0.050677,            0.003664,            0.003664,            0.003664
                  66,            0.036613,            0.012566,            0.033611,             0.02824,             0.92857,            0.037944,            0.020213,             0.02229,           0.0072707,            0.050964,            0.003565,            0.003565,            0.003565
                  67,            0.038212,            0.011965,            0.034907,            0.030753,             0.92857,            0.039323,            0.019697,            0.020811,           0.0068704,            0.051432,            0.003466,            0.003466,            0.003466
                  68,            0.039849,            0.011979,            0.028358,             0.03486,                   1,            0.042888,            0.019474,            0.023053,           0.0067461,            0.051818,            0.003367,            0.003367,            0.003367
                  69,            0.038479,            0.011477,            0.033049,             0.03041,             0.92857,            0.038656,            0.018351,            0.020806,           0.0071387,            0.050759,            0.003268,            0.003268,            0.003268
                  70,             0.03537,            0.011787,            0.028386,            0.030059,                   1,             0.04161,             0.01922,            0.020803,           0.0074894,            0.050022,            0.003169,            0.003169,            0.003169
                  71,            0.034766,            0.010706,            0.035292,            0.029199,             0.92857,            0.039862,            0.018853,            0.023072,           0.0078621,            0.048665,             0.00307,             0.00307,             0.00307
                  72,            0.035724,            0.012396,            0.035035,            0.029836,             0.92857,            0.041844,            0.017731,            0.025285,           0.0076535,            0.048209,            0.002971,            0.002971,            0.002971
                  73,            0.031489,            0.011735,            0.028921,            0.029078,             0.92857,              0.0405,            0.019894,            0.025475,           0.0078079,            0.048045,            0.002872,            0.002872,            0.002872
                  74,            0.027976,            0.011674,            0.030347,            0.026838,             0.92857,            0.039804,            0.018815,            0.024099,           0.0077958,            0.048741,            0.002773,            0.002773,            0.002773
                  75,            0.034007,            0.012801,             0.02909,            0.026047,             0.92857,            0.039087,            0.019064,            0.023764,           0.0081075,            0.049496,            0.002674,            0.002674,            0.002674
                  76,            0.032862,             0.01083,            0.031188,            0.026085,             0.92857,            0.039087,            0.020998,            0.024119,           0.0080505,            0.049578,            0.002575,            0.002575,            0.002575
                  77,            0.030955,            0.009952,             0.02878,            0.027046,             0.92857,            0.037296,            0.019297,            0.024635,           0.0079349,            0.049508,            0.002476,            0.002476,            0.002476
                  78,            0.030997,            0.012698,              0.0286,            0.028128,             0.92857,            0.036901,             0.02072,            0.023674,           0.0080308,            0.049069,            0.002377,            0.002377,            0.002377
                  79,             0.02851,            0.011634,            0.027478,            0.029403,             0.92857,            0.038093,            0.021386,            0.022792,           0.0081495,            0.049005,            0.002278,            0.002278,            0.002278
                  80,            0.031934,            0.011306,            0.029015,            0.031043,             0.92857,            0.040382,            0.022876,            0.023038,           0.0080672,            0.048695,            0.002179,            0.002179,            0.002179
                  81,            0.031627,            0.011639,            0.029962,            0.031902,             0.92857,            0.042364,            0.022638,             0.02432,            0.007991,             0.04794,             0.00208,             0.00208,             0.00208
                  82,            0.029524,            0.010471,             0.03211,            0.032428,             0.92857,            0.042284,            0.022743,            0.021794,            0.008136,            0.047636,            0.001981,            0.001981,            0.001981
                  83,            0.028804,            0.010716,            0.027064,            0.032635,             0.92857,            0.042296,              0.0232,            0.022948,            0.008394,            0.047022,            0.001882,            0.001882,            0.001882
                  84,            0.033279,            0.011387,            0.028867,            0.032028,             0.92857,            0.041993,            0.022277,            0.022024,           0.0085526,            0.046893,            0.001783,            0.001783,            0.001783
                  85,            0.025596,            0.010853,            0.027009,            0.031602,             0.92857,            0.041572,            0.022083,            0.020708,            0.008791,            0.046887,            0.001684,            0.001684,            0.001684
                  86,            0.028289,             0.01095,            0.026461,            0.031738,             0.92857,            0.041963,            0.021739,            0.021798,           0.0087191,             0.04694,            0.001585,            0.001585,            0.001585
                  87,            0.024694,           0.0091473,            0.023488,            0.032499,             0.92857,            0.040418,            0.021274,            0.020779,           0.0088714,            0.047174,            0.001486,            0.001486,            0.001486
                  88,            0.026564,            0.010817,            0.029557,            0.032673,             0.92857,            0.041007,            0.021331,            0.020358,           0.0089316,            0.047174,            0.001387,            0.001387,            0.001387
